date,SBI_Bluechip,ICICI_Bluechip,Nippon_Large_Cap,Axis_Bluechip,Kotak_Bluechip
2013-11-11,103.5975,16.24,14.0904,25.8933,32.4955
2013-11-12,103.6068,16.237,14.0191,25.8999,32.3947
2013-11-13,103.6314,16.17,13.9225,25.9068,32.4322
2013-11-14,103.6701,16.2613,14.1196,25.9133,32.4418
2013-11-15,103.6701,16.2613,14.1196,25.9133,32.4474
2013-11-17,103.6701,16.2613,14.1196,25.9329,32.4474
2013-11-18,103.396,16.5226,14.3228,25.9394,32.4751
2013-11-19,103.4355,16.5334,14.3778,25.946,32.5017
2013-11-20,103.4681,16.444,14.1819,25.9525,32.5391
2013-11-21,103.474,16.1933,13.9415,25.9591,32.488
2013-11-22,103.5041,16.2897,13.9552,25.9656,32.5096
2013-11-24,103.5041,16.2897,13.9552,25.9785,32.5096
2013-11-25,103.6001,16.5718,14.1929,25.985,32.5583
2013-11-26,103.6402,16.6084,14.0636,25.9914,32.5796
2013-11-27,103.7259,16.6986,14.0241,25.9979,32.6643
2013-11-28,103.7346,16.7602,14.1461,26.0044,32.7085
2013-11-29,103.3436,16.8709,14.3277,26.0108,32.7537
2013-12-01,103.3436,16.8709,14.3277,26.0236,32.7537
2013-12-02,103.4284,17.0194,14.4415,26.03,32.7932
2013-12-03,103.4693,17.0192,14.469,26.0368,32.7924
2013-12-04,103.4962,16.8619,14.408,26.0431,32.7606
2013-12-05,103.5545,16.979,14.5651,26.0494,32.8103
2013-12-06,103.5593,17.0086,14.6049,26.0558,32.8026
2013-12-08,103.5593,17.0086,14.6049,26.0686,32.8026
2013-12-09,103.618,17.1451,14.8292,26.0751,32.8598
2013-12-10,103.6308,17.1309,14.7766,26.0815,32.8561
2013-12-11,103.6643,17.1614,14.72,26.0879,32.8339
2013-12-12,103.7351,17.1221,14.6114,26.0942,32.8431
2013-12-13,103.7247,16.9744,14.4293,26.1007,32.807
2013-12-15,103.7247,16.9744,14.4293,26.1136,32.807
2013-12-16,103.8019,16.9674,14.5314,26.1199,32.8574
2013-12-17,103.3699,16.9528,14.5878,26.1264,32.834
2013-12-18,103.4075,17.1442,14.7942,26.1328,32.9813
2013-12-19,103.4336,17.1041,14.7525,26.1391,33.0031
2013-12-20,103.4584,17.3408,14.9808,26.1455,33.0843
2013-12-21,103.4584,17.3408,14.9808,26.1455,33.09
2013-12-22,103.4584,17.3408,14.9808,26.1582,33.09
2013-12-23,103.5236,17.3223,15.0236,26.1645,33.1548
2013-12-24,103.534,17.2848,15.0519,26.1709,33.1496
2013-12-25,103.534,17.2848,15.0519,26.1774,33.1496
2013-12-26,103.5763,17.2918,15.0569,26.1837,33.1844
2013-12-27,103.5893,17.4295,15.1338,26.19,33.2216
2013-12-29,103.5893,17.4295,15.1338,26.2029,33.2216
2013-12-30,103.6429,17.3906,15.058,26.2093,33.2426
2013-12-31,103.3941,17.4279,15.1634,26.2169,33.267
2014-01-01,103.446,17.4606,15.1641,26.2235,33.2578
2014-01-02,103.4808,17.2465,14.9258,26.2298,33.2215
2014-01-03,103.506,17.3062,14.9541,26.2362,33.2596
2014-01-05,103.506,17.3062,14.9541,26.2489,33.2596
2014-01-06,103.5815,17.3726,14.9235,26.2553,33.1183
2014-01-07,103.5881,17.3428,14.856,26.2617,33.1179
2014-01-08,103.5945,17.4401,14.8357,26.2681,33.1048
2014-01-09,103.5989,17.3968,14.7928,26.2744,33.1135
2014-01-10,103.6477,17.347,14.7676,26.2807,33.1133
2014-01-12,103.6477,17.347,14.7676,26.2934,33.1133
2014-01-13,103.721,17.4915,14.9695,26.2998,33.1891
2014-01-14,103.721,17.4504,14.8923,26.3061,33.185
2014-01-15,103.7752,17.6156,15.0219,26.3125,33.2341
2014-01-16,103.3942,17.5559,15.0355,26.3189,33.2535
2014-01-17,103.4134,17.2904,14.8613,26.3252,33.1938
2014-01-19,103.4134,17.2904,14.8613,26.3379,33.1938
2014-01-20,103.4895,17.432,15.0026,26.3443,33.2606
